id;zip;bfsnr;name;canton_id;district_id;planning_region_id;mountain_region_id;ase;greater_region_id;language_region_id;ms_region_id;job_market_region_id;agglomeration_id;metropole_region_id;tourism_region_id;municipal_size_class_id;urban_character_id;agglomeration_size_class_id;is_town;degurba_id;municipal_type22_id;municipal_type9_id;ms_region_typology_id;alternate_names;lat;long;lv03_easting;lv03_northing;noise_level;steuerfuss_gde;steuerfuss_kanton
992;2035;6407;Corcelles-Cormondrèche;24;2401;2401;1;0;2;2;102;5;6458;9;8;6;2;4;0;2;13;2;8;[];46.9852153;6.8688571;556653.512639726;203952.154933476;49.7637877211238;0.74;1.23
1021;2074;6461;La Tène;24;2404;2401;1;0;2;2;102;5;6458;9;8;6;2;4;0;2;12;2;8;[];47.01635155;7.02141915917285;568278.131032398;207340.334916469;66.1166666666667;0.74;1.23
1023;2075;6461;La Tène;24;2404;2401;1;0;2;2;102;5;6458;9;8;6;2;4;0;2;12;2;8;[];47.01635155;7.02141915917285;568278.131032398;207340.334916469;66.1166666666667;0.74;1.23
991;2034;6412;Peseux;24;2401;2401;1;0;2;2;102;5;6458;9;8;5;2;4;0;2;13;2;8;[];46.9886931;6.8906893;558317.127258057;204326.941637926;50.3099476439791;0.74;1.23
59;1045;5903;Bioley-Magnoux;22;2224;2212;1;0;1;2;91;2;0;0;9;8;4;2;0;3;20;8;5;[];46.7255605;6.7108156;544362.254121812;175187.34826109;46.8595213319459;0.74;1.545
436;1407;5903;Bioley-Magnoux;22;2224;2212;1;0;1;2;91;2;0;0;9;8;4;2;0;3;20;8;5;["Gossens"];46.7255605;6.7108156;544362.254121812;175187.34826109;46.8595213319459;0.74;1.545
392;1316;5476;Chevilly;22;2227;2210;1;0;1;2;90;2;0;0;9;8;4;2;0;3;15;7;3;[];46.642766;6.4771672;526389.000242117;166176.577748272;52.8355879292404;0.74;1.545
126;1116;5478;Cottens (VD);22;2227;2210;1;0;1;2;90;2;0;0;9;8;4;2;0;3;15;7;3;[];46.57398425;6.45327505439226;524463.740802674;158553.745002464;50.9448491155047;0.74;1.545
396;1322;5752;Croy;22;2224;2214;3;0;1;2;90;2;0;0;9;8;4;2;0;3;15;7;3;[];46.6945678;6.4771721;526460.046364785;171934.774723695;47.9885177453027;0.74;1.545
46;1040;5518;Echallens;22;2223;2211;1;0;1;2;90;2;5586;2;9;5;4;2;0;3;10;2;3;["St-Barthélemy VD"];46.6381163;6.6346951;538443.726844679;165523.862231585;52.7280423280423;0.74;1.545
131;1124;5484;Gollion;22;2227;2210;1;0;1;2;90;2;0;0;9;8;4;2;0;3;15;7;3;[];46.5852339;6.5088361;528737.58705793;159752.166789669;52.684703433923;0.74;1.545
478;1438;5919;Mathod;22;2224;2212;1;0;1;2;91;2;0;0;9;8;5;0;0;3;20;8;5;[];46.7667908;6.5647296;533246.327856496;179884.61637741;49.7270833333333;0.74;1.545
156;1148;5488;Mauraz;22;2227;2210;3;0;1;2;90;2;0;0;9;8;4;2;0;3;21;9;3;[];46.6054096;6.4227461;522168.888237588;162076.780818888;51.89802289282;0.74;1.545
150;1146;5431;Mollens (VD);22;2227;2203;3;0;1;2;85;2;0;0;9;8;4;2;0;3;20;8;2;[];46.5759883;6.36284607140277;517535.093296593;158867.713946941;49.9614984391259;0.74;1.545
51;1041;5540;Montilliez;22;2223;2211;1;0;1;2;90;2;0;0;9;7;4;2;0;3;15;7;3;[];46.64512105;6.68350041199713;542188.028482997;166265.362705745;39.7814776274714;0.74;1.545
56;1043;5540;Montilliez;22;2223;2211;1;0;1;2;90;2;0;0;9;7;4;2;0;3;15;7;3;[];46.64512105;6.68350041199713;542188.028482997;166265.362705745;39.7814776274714;0.74;1.545
413;1350;5757;Orbe;22;2224;2214;1;0;1;2;90;2;0;0;9;5;5;0;0;3;4;6;3;[];46.724144;6.5317943;530675.822994436;175172.611694311;49.5967741935484;0.74;1.545
465;1430;5924;Orges;22;2224;2212;1;0;1;2;91;2;0;0;9;8;4;5;0;3;20;8;5;[];46.8082246;6.5875324;535038.086531597;184471.277300449;49.2769070010449;0.74;1.545
383;1305;5495;Penthalaz;22;2223;2210;1;0;1;2;90;2;5586;2;9;6;4;2;0;2;10;2;3;[];46.6113262;6.5252453;530028.983214886;162637.730232521;50.216441207076;0.74;1.545
